initial_radius_center,survival_fraction,escaped_count,median_escape_time,escape_time_p25,escape_time_p75
0.519988,0.155556,38,2.200000,1.875000,3.370000
0.558407,0.240741,41,2.720000,2.200000,5.520000
0.596826,0.175000,33,2.880000,1.960000,6.240000
0.635246,0.288462,37,3.240000,1.880000,8.680000
0.673665,0.241379,44,3.610000,2.465000,7.595000
0.712085,0.177419,51,3.600000,2.240000,7.050000
0.750504,0.310345,40,2.880000,2.250000,4.605000
0.788923,0.415094,31,2.600000,1.900000,7.310000
0.827343,0.333333,34,2.960000,2.610000,5.335000
0.865762,0.313725,35,3.220000,2.580000,6.110000
0.904181,0.255814,32,3.850000,2.705000,7.450000
0.942601,0.230769,40,2.970000,2.385000,6.150000
0.981020,0.245283,40,4.380000,2.450000,7.760000
1.019439,0.289474,27,5.860000,2.670000,7.910000
1.057859,0.260870,34,4.750000,2.950000,7.035000
1.096278,0.293103,41,3.680000,2.660000,6.800000
1.134697,0.234043,36,6.260000,4.020000,7.475000
1.173117,0.298246,40,4.530000,3.000000,7.745000
1.211536,0.238095,48,5.090000,3.295000,8.795000
1.249955,0.224490,38,3.830000,2.500000,6.650000
1.288375,0.235294,39,4.080000,3.040000,7.000000
1.326794,0.181818,36,4.120000,3.045000,7.995000
1.365214,0.204082,39,3.720000,2.720000,5.710000
1.403633,0.280000,36,4.680000,3.195000,8.440000
1.442052,0.277778,39,4.080000,3.040000,5.050000
1.480472,0.265306,36,4.230000,3.520000,10.070000
1.518891,0.204545,35,4.780000,3.670000,9.830000
1.557310,0.078947,35,3.980000,3.190000,5.250000
1.595730,0.065217,43,4.220000,3.140000,5.810000
1.634149,0.034483,56,5.000000,4.410000,10.285000
1.672568,0.083333,55,5.420000,4.420000,10.450000
1.710988,0.083333,44,5.290000,4.215000,12.545000
1.749407,0.018868,52,9.030000,4.540000,13.510000
1.787826,0.131148,53,12.860000,5.240000,18.840000
1.826246,0.156863,43,12.220000,5.350000,19.750000
1.864665,0.204082,39,13.900000,6.370000,22.920000
1.903084,0.214286,44,14.590000,9.145000,24.555000
1.941504,0.520833,23,22.260000,13.600000,33.660000
1.979923,0.483333,31,15.480000,13.310000,25.310000
